iter	MultiClass
0	1.365981301
1	1.344868303
2	1.324652388
3	1.304362201
4	1.287678406
5	1.27491221
6	1.259824896
7	1.252785047
8	1.243218485
9	1.230585849
10	1.221935965
11	1.211607697
12	1.202899185
13	1.19412831
14	1.18327799
15	1.173193014
16	1.164668965
17	1.15608423
18	1.144625612
19	1.136754913
20	1.131403581
21	1.124738478
22	1.119082935
23	1.110392983
24	1.105875652
25	1.099345244
26	1.09241328
27	1.089041091
28	1.081092404
29	1.075182253
30	1.069131276
31	1.062239385
32	1.05694927
33	1.048686053
34	1.046586577
35	1.042116863
36	1.036788428
37	1.030437142
38	1.02444059
39	1.018414772
40	1.013462979
41	1.007809253
42	1.00337656
43	0.9980299081
44	0.9942616246
45	0.988438553
46	0.9819300068
47	0.9794935984
48	0.9743660398
49	0.9718572027
50	0.9681303235
51	0.9644682485
52	0.9607682384
53	0.956218289
54	0.9501432506
55	0.9461304639
56	0.9437372299
57	0.9386658445
58	0.9360024109
59	0.9332375282
60	0.9281267705
61	0.9239094715
62	0.9208118841
63	0.9173104538
64	0.9139443066
65	0.9108192886
66	0.9078192274
67	0.9030483259
68	0.8997660185
69	0.8940003838
70	0.8915717246
71	0.8885669288
72	0.8844380908
73	0.8795024487
74	0.8755286824
75	0.870694833
76	0.8683052986
77	0.8659940993
78	0.8634792873
79	0.8605791335
80	0.8565106289
81	0.852585043
82	0.8507962102
83	0.8449832643
84	0.842488869
85	0.8382711915
86	0.8355598519
87	0.8316103231
88	0.8267159468
89	0.8227387327
90	0.8183214315
91	0.8151444117
92	0.8112633236
93	0.8091987311
94	0.8066522098
95	0.8014403329
96	0.7981958969
97	0.7956922401
98	0.7944203534
99	0.7910184516
9
39
61
3

41
